mol_id	success	pathway_hit	rank	block_hit	intersect	length	solution
mol_0	True	True	1	True	3	4	5
mol_1	True	True	1	True	2	3	5
mol_2	True	True	1	True	2	2	5
mol_3	True	True	1	True	5	5	5
mol_4	True	True	1	True	3	3	5
mol_5	True	True	1	True	2	3	5
mol_6	True	True	2	True	4	4	5
mol_7	True	True	2	True	2	3	5
mol_8	True	True	1	True	2	3	5
mol_9	True	True	1	True	2	3	5
mol_10	True	True	2	True	6	6	5
mol_11	True	True	1	True	3	4	5
mol_12	True	True	1	True	2	3	5
mol_13	True	True	2	True	1	1	5
mol_14	True	False	0	False	0	4	5
mol_15	True	False	0	False	1	5	5
mol_16	True	False	0	False	0	4	5
mol_17	True	True	1	True	2	3	5
mol_18	True	False	0	False	0	3	5
mol_19	True	True	1	True	2	2	5
mol_20	True	True	1	True	4	4	5
mol_21	True	True	1	True	3	4	5
mol_22	True	True	1	True	2	3	5
mol_23	True	True	1	True	2	3	5
mol_24	True	True	1	True	2	3	5
mol_25	True	True	1	True	2	3	5
mol_26	True	True	2	True	2	2	5
mol_27	True	True	1	True	5	5	5
mol_28	True	True	1	True	3	3	5
mol_29	True	True	1	True	2	3	5
mol_30	True	True	1	True	2	2	5
mol_31	True	False	0	False	1	4	5
mol_32	True	False	0	True	1	3	5
mol_33	True	True	2	True	2	2	5
mol_34	True	False	0	False	2	3	5
mol_35	True	True	1	True	2	2	5
mol_36	True	True	2	True	1	2	5
mol_37	True	False	0	True	4	6	5
mol_38	True	False	0	True	4	6	5
mol_39	True	False	0	True	2	4	5
mol_40	True	True	1	True	2	3	5
mol_41	True	True	1	True	1	2	5
mol_42	True	False	0	False	0	2	5
mol_43	True	False	0	False	1	4	5
mol_44	True	True	2	True	4	4	5
mol_45	True	True	1	True	2	3	5
mol_46	True	True	1	True	2	3	5
mol_47	True	True	2	True	2	2	5
mol_48	True	True	2	True	2	2	5
mol_49	True	True	1	True	1	3	5
mol_50	True	True	1	True	1	2	5
mol_51	True	True	1	True	4	4	5
mol_52	True	True	1	True	4	4	5
mol_53	True	True	1	True	3	3	5
mol_54	True	True	1	True	2	2	5
mol_55	True	False	0	False	0	6	5
mol_56	True	True	1	True	2	2	5
mol_57	True	True	2	True	2	3	5
mol_58	True	False	0	False	3	5	5
mol_59	True	False	0	False	2	4	5
mol_60	True	True	1	True	2	4	5
mol_61	True	False	0	False	0	6	5
mol_62	True	False	0	False	2	5	5
mol_63	True	False	0	False	1	4	5
mol_64	True	True	1	True	2	4	5
mol_65	True	True	1	True	2	4	5
mol_66	True	True	1	True	3	4	5
mol_67	True	True	1	True	2	3	5
mol_68	True	True	2	True	2	3	5
mol_69	True	True	1	True	2	3	5
mol_70	True	True	1	True	2	3	5
mol_71	True	True	1	True	2	2	5
mol_72	True	True	1	True	4	5	5
mol_73	True	True	1	True	3	4	5
mol_74	True	True	1	True	3	4	5
mol_75	True	True	1	True	2	3	5
mol_76	True	True	1	True	2	3	5
mol_77	True	True	1	True	2	3	5
mol_78	True	True	1	True	3	4	5
mol_79	True	True	1	True	2	4	5
mol_80	True	True	1	True	5	5	5
mol_81	True	True	1	True	3	4	5
mol_82	True	True	1	True	2	3	5
mol_83	True	True	1	True	2	2	5
mol_84	True	True	1	True	2	3	5
mol_85	True	True	2	True	2	2	5
mol_86	True	True	1	True	2	3	5
mol_87	True	False	0	False	2	3	5
mol_88	True	True	3	True	7	7	5
mol_89	True	False	0	True	3	4	5
mol_90	True	True	1	True	3	4	5
mol_91	True	True	1	True	2	3	5
mol_92	True	True	1	True	4	4	5
mol_93	True	True	1	True	3	3	5
mol_94	True	True	1	True	2	4	5
mol_95	True	False	0	False	0	5	5
mol_96	True	True	2	True	3	4	5
mol_97	True	True	1	True	3	4	5
mol_98	True	True	1	True	2	4	5
mol_99	True	True	1	True	2	2	5
mol_100	True	True	1	True	2	2	5
mol_101	True	True	2	True	3	3	5
mol_102	True	False	0	False	0	5	5
mol_103	True	True	1	True	2	2	5
mol_104	True	False	0	True	2	3	5
mol_105	True	False	0	True	2	3	5
mol_106	True	True	1	True	2	2	5
mol_107	True	True	1	True	3	4	5
mol_108	True	True	1	True	2	3	5
mol_109	True	True	1	True	4	4	5
mol_110	True	True	1	True	3	3	5
mol_111	True	True	1	True	4	5	5
mol_112	True	False	0	False	0	5	5
mol_113	True	False	0	False	0	5	5
mol_114	True	False	0	False	0	5	1
mol_115	True	False	0	True	3	5	5
mol_116	True	False	0	False	3	4	5
mol_117	True	True	1	True	5	5	5
mol_118	True	True	1	True	4	4	5
mol_119	True	True	1	True	3	3	5
mol_120	True	True	1	True	2	4	5
mol_121	True	False	0	True	2	3	5
mol_122	True	False	0	True	2	4	5
mol_123	True	True	1	True	3	4	5
mol_124	True	True	1	True	2	3	5
mol_125	True	True	1	True	2	3	5
mol_126	True	True	1	True	2	2	5
mol_127	True	True	1	True	2	2	5
mol_128	True	False	0	False	0	6	5
mol_129	True	False	0	False	0	3	5
mol_130	True	False	0	False	0	5	5
mol_131	True	True	1	True	3	3	5
mol_132	True	True	1	True	2	3	5
mol_133	True	True	1	True	6	6	5
mol_134	True	False	0	False	2	3	5
mol_135	True	True	1	True	3	4	5
mol_136	True	True	1	True	2	3	5
mol_137	True	True	1	True	2	4	5
mol_138	True	False	0	True	1	3	5
mol_139	True	False	0	True	1	3	5
mol_140	True	False	0	True	1	3	5
mol_141	True	True	1	True	2	3	5
mol_142	True	True	1	True	3	4	5
mol_143	True	True	1	True	2	5	5
mol_144	True	True	1	True	3	4	5
mol_145	True	True	1	True	2	4	5
mol_146	True	False	0	False	3	6	5
mol_147	True	True	1	True	2	4	5
mol_148	True	True	1	True	3	3	5
mol_149	True	True	1	True	3	4	5
mol_150	True	True	1	True	2	3	5
mol_151	True	False	0	False	1	4	2
mol_152	True	False	0	True	5	5	5
mol_153	True	True	1	True	2	3	5
mol_154	True	True	1	True	2	3	5
mol_155	True	False	0	True	1	4	5
mol_156	True	True	1	True	3	3	5
mol_157	True	True	2	True	2	3	5
mol_158	True	True	2	True	2	2	5
mol_159	True	False	0	True	1	3	5
mol_160	True	True	1	True	2	3	5
mol_161	True	False	0	True	1	3	5
mol_162	True	True	1	True	3	3	5
mol_163	True	True	1	True	2	3	5
mol_164	True	True	1	True	4	4	5
mol_165	True	True	1	True	3	4	5
mol_166	True	True	1	True	2	3	5
mol_167	True	True	1	True	3	4	5
mol_168	True	True	1	True	2	3	5
mol_169	True	True	1	True	2	3	5
mol_170	True	False	0	True	2	4	5
mol_171	True	False	0	True	1	3	5
mol_172	True	False	0	True	2	4	5
mol_173	True	True	5	True	4	4	5
mol_174	True	False	0	True	2	4	5
mol_175	True	True	1	True	3	3	5
mol_176	True	False	0	True	1	3	5
mol_177	True	False	0	True	3	5	5
